Number of nodes 969
   426 : -1.7821507e+00 -6.2151915e-01
   427 :  1.8742918e+00  2.4391649e-02
   428 :  1.8837117e+00  1.3905236e-01
   429 :  2.4309840e-01  1.8738592e+00
   430 :  3.5793078e-01  1.8432156e+00
   431 :  1.4347772e+00 -1.2237520e+00
   432 :  1.0947627e+00 -4.3119165e-01
   433 : -1.2638052e-01  1.1502573e+00
   434 : -1.2060106e-01 -1.1360279e+00
   435 :  4.3280179e-01 -1.8351067e+00
   436 :  1.0766057e+00 -1.5412765e+00
   437 : -1.4007408e+00 -1.2530684e+00
   438 : -2.4314531e-01  1.8637722e+00
   439 :  1.8217109e+00 -4.6146871e-01
   440 : -9.6530075e-01 -6.2993091e-01
   441 : -1.8786009e+00 -3.5177009e-02
   442 :  1.7736126e+00  6.2136454e-01
   443 : -3.5574284e-01 -1.8372614e+00
   444 : -1.1614655e+00  1.1441059e-01
   445 :  6.3216011e-01  9.8110151e-01
   446 :  5.1041585e-01 -1.0243021e+00
   447 : -9.6036392e-01  6.7759993e-01
   448 :  1.0462074e+00  5.2391027e-01
   449 : -3.2372844e-01 -3.8888182e-01
   450 : -9.1700926e-01  3.2058322e-01
   451 :  6.9876777e-01  6.6918975e-01
   452 :  1.3714132e+00  1.2924397e+00
   453 : -9.3415692e-01  1.6366242e+00
   454 : -1.7356226e+00  7.3403143e-01
   455 : -5.6338630e-02 -5.1202373e-01
   456 :  2.3579626e-01 -4.5976814e-01
   457 :  7.2994136e-01 -6.1326619e-01
   458 :  1.9651463e-01  9.2726680e-01
   459 : -9.1382568e-01 -2.4309251e-01
   460 :  1.6065648e+00 -9.7694606e-01
   461 :  1.6574157e+00 -8.8564354e-01
   462 :  3.1801305e-02 -1.8803763e+00
   463 :  1.3717310e-01 -1.8777365e+00
   464 :  1.8486110e+00  3.4793039e-01
   465 : -1.8695868e+00 -3.2329365e-01
   466 : -5.0590173e-01  1.2776898e+00
   467 :  1.3804208e+00 -1.2587494e-01
   468 :  1.8876990e+00 -1.7698464e-01
   469 :  3.4881021e-02  1.8973062e+00
   470 : -1.2121446e+00 -1.4603083e+00
   471 : -4.9994916e-01 -1.8945529e-03
   472 :  2.3085935e-01  4.4331749e-01
   473 :  1.3071884e+00 -1.3732515e+00
   474 :  1.5915989e+00 -2.9219709e-01
   475 : -4.3849225e-01  8.4884870e-01
   476 : -5.4276865e-01 -7.8591807e-01
   477 :  9.5500206e-01  2.2150422e-03
   478 :  9.0346941e-01 -1.0185214e+00
   479 : -6.3693472e-01 -1.7838262e+00
   480 : -9.0549030e-01 -1.0176136e+00
   481 : -4.9526882e-01 -1.2758037e+00
   482 :  8.5810424e-01  1.0740682e+00
   483 : -1.3600327e+00 -1.7374931e-01
   484 : -1.1969274e+00  7.3215413e-01
   485 :  4.1556809e-01  1.2839197e+00
   486 : -4.5843840e-01 -1.5280750e+00
   487 :  1.5562897e+00  1.0860088e+00
   488 : -1.8370189e+00  4.7617068e-01
   489 :  1.3457706e+00  3.1147817e-01
   490 : -1.6932938e+00 -8.2925629e-01
   491 :  6.2316479e-01 -1.7794605e+00
   492 : -8.4239126e-01  1.0678402e+00
   493 : -3.8298744e-01  3.4312420e-01
   494 : -1.3003675e-01  4.9749777e-01
   495 :  4.8027235e-01  1.8371572e-01
   496 :  5.0191450e-01 -1.1178027e-01
   497 :  1.2221927e+00  1.4614326e+00
   498 : -7.4208499e-01  1.7546653e+00
   499 : -1.6545807e+00  9.4440620e-01
   500 : -1.1788088e+00  1.4975928e+00
   501 :  5.8357428e-01  1.8143361e+00
   502 : -4.6460564e-01  1.3977901e-01
   503 : -4.0463644e-01 -2.6770494e-01
   504 :  8.8125996e-02  4.7710626e-01
   505 : -4.6622932e-01 -1.4019697e-01
   506 :  3.8537071e-01 -2.9723983e-01
   507 :  3.3768289e-01  3.5039146e-01
   508 :  2.0791753e-01  1.4007202e+00
   509 : -1.3536918e+00 -4.4932632e-01
   510 :  5.0314571e-01 -1.2833408e+00
   511 : -7.5434379e-01 -1.2251474e+00
   512 : -1.3348092e+00  2.8003318e-01
   513 : -3.4153044e-01  1.0563214e+00
   514 :  1.0979007e+00 -1.7416539e-01
   515 : -7.7942329e-01 -7.7974985e-01
   516 :  1.1768397e+00  7.3509916e-01
   517 : -1.2101141e+00 -6.6596356e-01
   518 : -6.2546496e-02  1.3740683e+00
   519 :  1.1111478e+00 -9.0337979e-01
   520 :  3.3250245e-01 -1.3592823e+00
   521 :  1.8220392e+00 -5.8605196e-01
   522 :  1.7841212e+00 -6.9296145e-01
   523 : -1.9818474e-01 -1.9036913e+00
   524 : -9.9631815e-02 -1.3122800e+00
   525 :  1.2621274e+00 -5.6201991e-01
   526 :  1.7640095e+00  7.4603686e-01
   527 :  1.7167157e+00  8.4922765e-01
   528 : -1.9049863e+00  1.9831956e-01
   529 : -1.9133892e+00  8.5118672e-02
   530 :  8.7969544e-02 -4.7625925e-01
   531 : -1.5726939e+00 -1.0935116e+00
   532 : -1.5051515e+00 -1.1847585e+00
   533 :  7.1203402e-01 -8.3547300e-01
   534 :  9.9845882e-01 -1.6347695e+00
   535 :  8.9986049e-01 -1.6910478e+00
   536 : -3.6320947e-01 -1.0247566e+00
   537 :  4.7734959e-01  5.8641887e-01
   538 : -7.1914391e-01 -1.6891535e-01
   539 :  2.7884519e-01 -3.8902993e-01
   540 : -1.2035507e-01 -4.6036457e-01
   541 :  9.9978628e-01  1.6430896e+00
   542 : -3.6701608e-01  1.8815172e+00
   543 : -1.5093482e+00  1.1921382e+00
   544 : -4.7783377e-01  1.8564705e+00
   545 : -1.4894926e-02 -9.4079470e-01
   546 : -2.4748992e-01 -4.0552760e-01
   547 :  3.6540602e-01 -8.8773524e-01
   548 :  1.4787823e+00  7.4575035e-02
   549 : -7.0292276e-01  1.2958325e+00
   550 :  3.1168258e-01 -1.8951134e+00
   551 :  1.5436779e+00 -1.1426550e+00
   552 : -8.4979367e-01 -1.7178599e+00
   553 : -1.1007826e+00 -7.2278184e-02
   554 :  4.2909832e-01  1.0126018e+00
   555 : -1.9392226e-01 -6.5863034e-01
   556 :  1.0350319e+00  2.7302553e-01
   557 : -7.1578163e-01  7.9546539e-01
   558 : -3.9105573e-01  2.5872002e-01
   559 : -1.8307649e-01  4.3110875e-01
   560 : -2.9973229e-01  3.5931554e-01
   561 : -5.1283393e-02  4.6608009e-01
   562 :  4.3795335e-01 -1.6750296e-01
   563 :  4.6710861e-01 -3.4297089e-02
   564 :  4.5659386e-01  1.0227560e-01
   565 :  4.0889761e-01  2.2948446e-01
   566 :  9.6179397e-01 -1.2316807e+00
   567 :  1.4758012e+00  1.2342091e+00
   568 : -1.8131999e+00  6.4309589e-01
   569 : -1.0509993e+00  1.6114176e+00
   570 :  5.6013282e-01 -4.7838687e-01
   571 : -1.1323846e+00 -1.1095749e+00
   572 : -1.8732737e+00 -4.2339225e-01
   573 :  1.9187531e+00 -8.5357286e-02
   574 :  1.4218324e-01  1.9154403e+00
   575 : -1.1427440e+00 -1.5437982e+00
   576 :  1.4033204e+00 -1.3172562e+00
   577 : -4.8826289e-01 -1.8710926e+00
   578 : -7.3700723e-01  1.6429080e-01
   579 : -1.3574984e+00  5.4696643e-01
   580 :  1.0931252e+00  9.7223052e-01
   581 :  1.8711602e+00  4.8499851e-01
   582 : -1.9159914e+00 -1.9946524e-01
   583 :  1.1020484e-02 -4.6478381e-01
   584 :  1.5576430e-01 -4.3819321e-01
   585 :  1.9010338e+00 -3.1265628e-01
   586 : -1.7918495e+00 -7.5781100e-01
   587 :  5.2987354e-01 -1.8525168e+00
   588 :  1.3182556e+00  1.3988066e+00
   589 : -8.5225004e-01  1.7228255e+00
   590 : -1.7228255e+00  8.5225004e-01
   591 : -8.5625329e-02  1.9247784e+00
   592 : -1.3214163e+00 -1.4021604e+00
